resume_id,role,seniority,years_experience,industry,education,skills,summary,experience_bullets
R_000000,Software Engineer,Senior,12,EdTech,BSc,"['OOP', 'Databases', 'Git', 'Docker', 'Python', 'Unit Testing', 'Java']",Software Engineer with 12 years of experience in EdTech.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000001,Marketing Manager,Junior,2,E-commerce,BSc,"['Content Marketing', 'Meta Ads', 'Conversion Optimization', 'SEO', 'Landing Pages']",Marketing Manager with 2 years of experience in E-commerce.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000002,Full Stack Engineer,Mid,6,FinTech,BA,"['Databases', 'OOP', 'Git', 'Docker', 'JavaScript', 'Python']",Full Stack Engineer with 6 years of experience in FinTech.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000003,Data Analyst,Junior,0,Healthcare,BSc,"['Excel', 'A/B Testing', 'Tableau', 'Pandas', 'Power BI', 'Data Visualization']",Data Analyst with 0 years of experience in Healthcare.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000004,BI Analyst,Junior,0,Gaming,BA,"['Statistics', 'SQL', 'Power BI', 'Pandas', 'Excel']",BI Analyst with 0 years of experience in Gaming.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000005,Financial Analyst,Mid,3,Travel,BA,"['Forecasting', 'KPIs', 'Valuation', 'Reporting', 'Variance Analysis', 'Excel', 'Accounting']",Financial Analyst with 3 years of experience in Travel.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000006,Sales Representative,Junior,0,Retail,High School,"['Discovery Calls', 'Account Management', 'Prospecting', 'Negotiation', 'CRM', 'Closing', 'Pipeline Management']",Sales Representative with 0 years of experience in Retail.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000007,Technical Support Specialist,Junior,1,Healthcare,MSc,"['Troubleshooting', 'Root Cause Analysis', 'Customer Satisfaction', 'SLA', 'Zendesk']",Technical Support Specialist with 1 years of experience in Healthcare.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000008,Customer Support Specialist,Junior,1,Retail,High School,"['Ticketing', 'SLA', 'Zendesk', 'Escalations', 'Customer Satisfaction', 'Documentation', 'Troubleshooting', 'Communication']",Customer Support Specialist with 1 years of experience in Retail.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000009,Backend Engineer,Mid,6,Travel,High School,"['Unit Testing', 'JavaScript', 'CI/CD', 'Python', 'Databases', 'Docker', 'Java']",Backend Engineer with 6 years of experience in Travel.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000010,Sales Representative,Senior,10,Logistics,BSc,"['Prospecting', 'Pipeline Management', 'Negotiation', 'Forecasting', 'CRM', 'Outbound Outreach', 'Lead Generation']",Sales Representative with 10 years of experience in Logistics.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000011,Backend Engineer,Junior,2,Gaming,High School,"['Python', 'Java', 'Databases', 'Unit Testing', 'JavaScript', 'Docker', 'OOP', 'Git']",Backend Engineer with 2 years of experience in Gaming.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
R_000012,Full Stack Engineer,Mid,5,E-commerce,MSc,"['Git', 'CI/CD', 'Unit Testing', 'Java', 'Python', 'Databases', 'OOP', 'Docker']",Full Stack Engineer with 5 years of experience in E-commerce.,"['Delivered results using structured workflows and clear communication', 'Collaborated with stakeholders to define needs and execute tasks', 'Maintained reporting and documentation to support team performance']"
